edge_index,mcu_pa9_time_s,pi_irq_marker_time_s,delta_us
480,0.4803657,0.4803691,3.40
481,0.4813656,0.4813691,3.50
482,0.4823655,0.4823690,3.50
483,0.4833655,0.4833689,3.40
484,0.4843654,0.4843689,3.50
485,0.4853653,0.4853688,3.50
486,0.4863653,0.4863687,3.40
487,0.4873652,0.4873687,3.50
488,0.4883652,0.4883687,3.50
489,0.4893651,0.4893686,3.50
490,0.4903650,0.4903685,3.50
491,0.4913650,0.4913684,3.40
492,0.4923649,0.4923684,3.50
493,0.4933648,0.4933683,3.50
494,0.4943648,0.4943683,3.50
495,0.4953647,0.4953682,3.50
496,0.4963647,0.4963681,3.40
497,0.4973646,0.4973681,3.50
498,0.4983645,0.4983680,3.50
499,0.4993645,0.4993680,3.50
500,0.5003644,0.5003679,3.50
501,0.5013643,0.5013678,3.50
502,0.5023643,0.5023677,3.40
503,0.5033642,0.5033677,3.50
504,0.5043641,0.5043676,3.50
505,0.5053641,0.5053676,3.50
506,0.5063640,0.5063675,3.50
507,0.5073640,0.5073674,3.40
508,0.5083639,0.5083674,3.50
509,0.5093638,0.5093673,3.50
510,0.5103638,0.5103672,3.40
511,0.5113637,0.5113672,3.50
512,0.5123636,0.5123672,3.60
513,0.5133636,0.5133671,3.50
514,0.5143635,0.5143670,3.50
515,0.5153634,0.5153670,3.60
516,0.5163634,0.5163669,3.50
517,0.5173633,0.5173668,3.50
518,0.5183633,0.5183667,3.40
519,0.5193632,0.5193667,3.50
520,0.5203631,0.5203666,3.50
521,0.5213631,0.5213665,3.40
522,0.5223630,0.5223665,3.50
523,0.5233629,0.5233665,3.60
524,0.5243629,0.5243663,3.40
525,0.5253628,0.5253663,3.50
526,0.5263628,0.5263662,3.40
527,0.5273627,0.5273662,3.50
528,0.5283626,0.5283661,3.50
529,0.5293626,0.5293661,3.50
530,0.5303625,0.5303659,3.40
531,0.5313624,0.5313659,3.50
532,0.5323624,0.5323659,3.50
533,0.5333623,0.5333658,3.50
534,0.5343623,0.5343657,3.40
535,0.5353622,0.5353657,3.50
536,0.5363621,0.5363656,3.50
537,0.5373621,0.5373656,3.50
538,0.5383620,0.5383654,3.40
539,0.5393619,0.5393655,3.60
540,0.5403619,0.5403653,3.40
541,0.5413618,0.5413653,3.50
542,0.5423617,0.5423652,3.50
543,0.5433617,0.5433652,3.50
544,0.5443616,0.5443651,3.50
545,0.5453616,0.5453650,3.40
546,0.5463615,0.5463650,3.50
547,0.5473614,0.5473649,3.50
548,0.5483614,0.5483648,3.40
549,0.5493613,0.5493648,3.50
550,0.5503612,0.5503647,3.50
551,0.5513612,0.5513647,3.50
552,0.5523611,0.5523646,3.50
553,0.5533610,0.5533645,3.50
554,0.5543610,0.5543644,3.40
555,0.5553609,0.5553644,3.50
556,0.5563609,0.5563644,3.50
557,0.5573608,0.5573643,3.50
558,0.5583607,0.5583642,3.50
559,0.5593607,0.5593642,3.50
560,0.5603606,0.5603641,3.50
561,0.5613605,0.5613640,3.50
562,0.5623605,0.5623639,3.40
563,0.5633604,0.5633639,3.50
564,0.5643604,0.5643638,3.40
565,0.5653603,0.5653638,3.50
566,0.5663602,0.5663637,3.50
567,0.5673602,0.5673637,3.50
568,0.5683601,0.5683636,3.50
569,0.5693600,0.5693635,3.50
570,0.5703600,0.5703634,3.40
571,0.5713599,0.5713634,3.50
572,0.5723599,0.5723633,3.40
573,0.5733598,0.5733633,3.50
574,0.5743597,0.5743632,3.50
575,0.5753597,0.5753631,3.40
576,0.5763596,0.5763631,3.50
577,0.5773595,0.5773630,3.50
578,0.5783595,0.5783630,3.50
579,0.5793594,0.5793629,3.50
580,0.5803593,0.5803628,3.50
581,0.5813593,0.5813627,3.40
582,0.5823592,0.5823627,3.50
583,0.5833592,0.5833626,3.40
584,0.5843591,0.5843626,3.50
585,0.5853590,0.5853625,3.50
586,0.5863590,0.5863624,3.40
587,0.5873589,0.5873624,3.50
588,0.5883588,0.5883624,3.60
589,0.5893588,0.5893623,3.50
590,0.5903587,0.5903622,3.50
591,0.5913586,0.5913621,3.50
592,0.5923586,0.5923621,3.50
593,0.5933585,0.5933620,3.50
594,0.5943585,0.5943620,3.50
595,0.5953584,0.5953619,3.50
596,0.5963583,0.5963618,3.50
597,0.5973583,0.5973617,3.40
598,0.5983582,0.5983617,3.50
599,0.5993581,0.5993616,3.50
600,0.6003581,0.6003615,3.40
601,0.6013580,0.6013615,3.50
602,0.6023580,0.6023615,3.50
603,0.6033579,0.6033614,3.50
604,0.6043578,0.6043613,3.50
605,0.6053578,0.6053612,3.40
606,0.6063577,0.6063612,3.50
607,0.6073576,0.6073611,3.50
608,0.6083576,0.6083611,3.50
609,0.6093575,0.6093610,3.50
610,0.6103575,0.6103609,3.40
611,0.6113574,0.6113609,3.50
612,0.6123573,0.6123608,3.50
613,0.6133573,0.6133607,3.40
614,0.6143572,0.6143607,3.50
615,0.6153571,0.6153606,3.50
616,0.6163571,0.6163606,3.50
617,0.6173570,0.6173605,3.50
618,0.6183569,0.6183605,3.60
619,0.6193569,0.6193603,3.40
620,0.6203568,0.6203603,3.50
621,0.6213568,0.6213602,3.40
622,0.6223567,0.6223602,3.50
623,0.6233566,0.6233602,3.60
624,0.6243566,0.6243600,3.40
625,0.6253565,0.6253600,3.50
626,0.6263564,0.6263600,3.60
627,0.6273564,0.6273599,3.50
628,0.6283563,0.6283598,3.50
629,0.6293562,0.6293597,3.50
630,0.6303562,0.6303597,3.50
631,0.6313561,0.6313597,3.60
632,0.6323561,0.6323596,3.50
633,0.6333560,0.6333594,3.40
634,0.6343559,0.6343594,3.50
635,0.6353559,0.6353594,3.50
636,0.6363558,0.6363593,3.50
637,0.6373557,0.6373593,3.60
638,0.6383557,0.6383592,3.50
639,0.6393556,0.6393591,3.50
640,0.6403556,0.6403591,3.50
641,0.6413555,0.6413590,3.50
642,0.6423554,0.6423589,3.50
643,0.6433554,0.6433588,3.40
644,0.6443553,0.6443588,3.50
645,0.6453552,0.6453587,3.50
646,0.6463552,0.6463586,3.40
647,0.6473551,0.6473586,3.50
648,0.6483551,0.6483586,3.50
649,0.6493550,0.6493585,3.50
650,0.6503549,0.6503585,3.60
651,0.6513549,0.6513583,3.40
652,0.6523548,0.6523583,3.50
653,0.6533547,0.6533582,3.50
654,0.6543547,0.6543581,3.40
655,0.6553546,0.6553581,3.50
656,0.6563545,0.6563581,3.60
657,0.6573545,0.6573644,9.90
658,0.6583544,0.6583579,3.50
659,0.6593544,0.6593578,3.40
660,0.6603543,0.6603578,3.50
661,0.6613542,0.6613577,3.50
662,0.6623542,0.6623576,3.40
663,0.6633541,0.6633576,3.50
664,0.6643540,0.6643575,3.50
665,0.6653540,0.6653575,3.50
666,0.6663539,0.6663574,3.50
667,0.6673538,0.6673573,3.50
668,0.6683538,0.6683573,3.50
669,0.6693537,0.6693572,3.50
670,0.6703537,0.6703571,3.40
671,0.6713536,0.6713571,3.50
672,0.6723535,0.6723570,3.50
673,0.6733535,0.6733570,3.50
674,0.6743534,0.6743569,3.50
675,0.6753533,0.6753568,3.50
676,0.6763533,0.6763568,3.50
677,0.6773532,0.6773567,3.50
678,0.6783532,0.6783566,3.40
679,0.6793531,0.6793566,3.50
680,0.6803530,0.6803565,3.50
681,0.6813530,0.6813564,3.40
682,0.6823529,0.6823564,3.50
683,0.6833528,0.6833563,3.50
684,0.6843528,0.6843563,3.50
685,0.6853527,0.6853562,3.50
686,0.6863527,0.6863561,3.40
687,0.6873526,0.6873560,3.40
688,0.6883525,0.6883560,3.50
689,0.6893525,0.6893560,3.50
690,0.6903524,0.6903559,3.50
691,0.6913523,0.6913558,3.50
692,0.6923523,0.6923558,3.50
693,0.6933522,0.6933557,3.50
694,0.6943521,0.6943556,3.50
695,0.6953521,0.6953556,3.50
696,0.6963520,0.6963555,3.50
697,0.6973520,0.6973554,3.40
698,0.6983519,0.6983554,3.50
699,0.6993518,0.6993553,3.50
700,0.7003518,0.7003552,3.40
701,0.7013517,0.7013552,3.50
702,0.7023516,0.7023551,3.50
703,0.7033516,0.7033551,3.50
704,0.7043515,0.7043550,3.50
705,0.7053514,0.7053607,9.30
706,0.7063514,0.7063549,3.50
707,0.7073513,0.7073548,3.50
708,0.7083513,0.7083547,3.40
709,0.7093512,0.7093547,3.50
710,0.7103511,0.7103546,3.50
711,0.7113511,0.7113546,3.50
712,0.7123510,0.7123545,3.50
713,0.7133509,0.7133544,3.50
714,0.7143509,0.7143544,3.50
715,0.7153508,0.7153543,3.50
716,0.7163508,0.7163542,3.40
717,0.7173507,0.7173542,3.50
718,0.7183506,0.7183541,3.50
719,0.7193506,0.7193541,3.50
720,0.7203505,0.7203540,3.50
721,0.7213504,0.7213539,3.50
722,0.7223504,0.7223538,3.40
723,0.7233503,0.7233538,3.50
724,0.7243502,0.7243537,3.50
725,0.7253502,0.7253537,3.50
726,0.7263501,0.7263536,3.50
727,0.7273501,0.7273535,3.40
728,0.7283500,0.7283534,3.40
729,0.7293499,0.7293534,3.50
730,0.7303499,0.7303533,3.40
731,0.7313498,0.7313533,3.50
732,0.7323497,0.7323532,3.50
733,0.7333497,0.7333532,3.50
734,0.7343496,0.7343531,3.50
735,0.7353496,0.7353530,3.40
736,0.7363495,0.7363529,3.40
737,0.7373494,0.7373529,3.50
738,0.7383494,0.7383529,3.50
739,0.7393493,0.7393528,3.50
740,0.7403492,0.7403527,3.50
741,0.7413492,0.7413527,3.50
742,0.7423491,0.7423526,3.50
743,0.7433490,0.7433525,3.50
744,0.7443490,0.7443525,3.50
745,0.7453489,0.7453524,3.50
746,0.7463489,0.7463523,3.40
747,0.7473488,0.7473523,3.50
748,0.7483487,0.7483522,3.50
749,0.7493487,0.7493522,3.50
750,0.7503486,0.7503521,3.50
751,0.7513485,0.7513520,3.50
752,0.7523485,0.7523520,3.50
753,0.7533484,0.7533519,3.50
754,0.7543484,0.7543518,3.40
755,0.7553483,0.7553518,3.50
756,0.7563482,0.7563517,3.50
757,0.7573482,0.7573516,3.40
758,0.7583481,0.7583516,3.50
759,0.7593480,0.7593515,3.50
760,0.7603480,0.7603515,3.50
761,0.7613479,0.7613514,3.50
762,0.7623478,0.7623513,3.50
763,0.7633478,0.7633513,3.50
764,0.7643477,0.7643512,3.50
765,0.7653477,0.7653512,3.50
766,0.7663476,0.7663511,3.50
767,0.7673475,0.7673510,3.50
